timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1621630643447,840,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,835,utf-8,1,0,VDICOR1W14-23,0,0
1621630643439,880,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,874,utf-8,1,0,VDICOR1W14-23,0,0
1621630643954,412,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,412,utf-8,1,0,VDICOR1W14-23,0,37
1621630643566,844,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-7,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,843,utf-8,1,0,VDICOR1W14-23,0,0
1621630644288,319,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,319,utf-8,1,0,VDICOR1W14-23,0,37
1621630644319,367,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,367,utf-8,1,0,VDICOR1W14-23,0,36
1621630644366,412,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,412,utf-8,1,0,VDICOR1W14-23,0,0
1621630644410,370,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-7,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,370,utf-8,1,0,VDICOR1W14-23,0,36
1621630644779,291,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,291,utf-8,1,0,VDICOR1W14-23,0,37
1621630644686,439,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,439,utf-8,1,0,VDICOR1W14-23,0,0
1621630644608,533,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,9016,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,528,utf-8,1,0,VDICOR1W14-23,0,46
1621630645071,334,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,334,utf-8,1,0,VDICOR1W14-23,0,84
1621630645141,285,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,285,utf-8,1,0,VDICOR1W14-23,0,35
1621630645425,276,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,276,utf-8,1,0,VDICOR1W14-23,0,39
